Date,Open,High,Low,Close,Volume
2006-06-26,149.71152489704514,149.97438447090087,149.40760448187953,149.82652282714844,24900
2006-06-27,149.78544859118654,150.1386520114061,149.78544859118654,149.8429412841797,23400
2006-06-28,149.226938092098,149.3912191099587,149.226938092098,149.35836791992188,125000
2006-06-29,148.8407801097584,150.49183654785156,148.8161385987866,150.49183654785156,47600
2006-06-30,151.78969568413265,151.97040849085352,151.7486348466505,151.90469360351562,31800
2006-07-03,151.73528830968215,151.94908811750912,151.28300742036217,151.39813232421875,17200
2006-07-05,151.39813232421875,151.39813232421875,151.39813232421875,151.39813232421875,0
2006-07-06,151.39813232421875,151.39813232421875,151.39813232421875,151.39813232421875,0
2006-07-07,152.49185595838975,152.49185595838975,152.1793686358573,152.36849975585938,8500
2006-07-10,151.56269726314306,151.72715973029898,151.5462472521229,151.63670349121094,13800
2006-07-11,151.64486428294592,152.0724639892578,151.63663300742093,152.0724639892578,13000
2006-07-12,151.22549757612728,151.22549757612728,150.89657273637275,151.06103515625,700
2006-07-13,151.88329917079326,151.88329917079326,151.43924955962345,151.6941680908203,14800
2006-07-14,151.37352308942235,151.37352308942235,151.2090606689453,151.2090606689453,6200
2006-07-17,149.8686802034751,150.09893012123536,149.8111114501953,149.8111114501953,13300
2006-07-18,150.76498571541586,150.76498571541586,150.40316089203634,150.4689483642578,42700
2006-07-19,150.42779933798465,151.8668670654297,150.42779933798465,151.8668670654297,900
2006-07-20,152.4836542395764,152.4836542395764,152.32742309570312,152.32742309570312,7300
2006-07-21,153.1333444179557,153.2402506705883,153.1333444179557,153.2238006591797,600
2006-07-24,152.78786802950825,152.78786802950825,152.5000494855087,152.54116821289062,1000
2006-07-25,152.21230508074498,152.28631129137415,151.72712397759167,151.77647399902344,18000
2006-07-26,152.53294795845173,152.96877885945148,152.53294795845173,152.89476013183594,20000
2006-07-27,153.7911313058527,153.7911313058527,153.0592630036996,153.207275390625,10000
2006-07-28,153.80753720906202,153.8979933872965,153.7088623046875,153.7088623046875,14900
2006-07-31,154.06251521527523,154.1694088783471,153.81581533152647,154.1200714111328,14400
2006-08-01,154.11181725199168,154.89553203166523,154.02932824716987,154.8542938232422,36400
2006-08-02,154.98631287552442,155.09356245218171,154.76358118428334,154.90382385253906,9400
2006-08-03,155.87720351492888,155.87720351492888,155.54722240344938,155.7534637451172,24300
2006-08-04,157.31267055319293,157.7993971688617,157.31267055319293,157.4776611328125,25500
2006-08-07,157.6921701144269,157.79117454669614,157.23019139042415,157.32093811035156,12600
2006-08-08,157.35395007768173,158.3851571235689,157.27969360351562,157.27969360351562,8400
2006-08-09,157.65916533836037,157.79116284628083,157.37042236328125,157.37042236328125,9900
2006-08-10,157.05700902146273,157.05700902146273,156.10829070209027,156.14129638671875,7600
2006-08-11,156.28970245523237,156.70218518147368,156.1494598388672,156.1494598388672,1300
2006-08-14,156.18243403984079,156.36391482188773,156.00918579101562,156.00918579101562,1100
2006-08-15,156.72693855466898,156.72693855466898,156.39695739746094,156.39695739746094,12100
2006-08-16,157.09818671267467,157.09818671267467,156.71046447753906,156.71046447753906,1400
2006-08-17,156.52072418800793,156.62797374719207,155.9185028076172,155.9185028076172,1700
2006-08-18,155.42349422968687,155.70399206485988,155.35750806750147,155.4482421875,8800
2006-08-21,156.84243592916948,156.84243592916948,156.71045101678976,156.73519897460938,1600
2006-08-22,156.20723322127094,156.21547834516812,155.98448899629327,156.08348083496094,12000
2006-08-23,156.78468050772648,156.78468050772648,156.36394008744057,156.61968994140625,2300
2006-08-24,156.68573727307418,156.68573727307418,156.19076538085938,156.19076538085938,500
2006-08-25,156.06697529263081,156.09173583984375,156.06697529263081,156.09173583984375,1100
2006-08-28,156.8507196787387,156.98270461302883,156.8012237548828,156.8012237548828,500
2006-08-29,157.13944019249013,157.19719382533273,156.5124708832069,157.13119506835938,6300
2006-08-30,157.52709695556018,157.68384235219565,157.52709695556018,157.6178436279297,1000
2006-08-31,157.78288443314287,157.78288443314287,157.43640046129238,157.4694061279297,500
2006-09-01,157.1821919676363,157.7947540283203,157.1821919676363,157.7947540283203,1600
2006-09-05,156.81795361452507,156.9090118408203,156.7103359022161,156.9090118408203,19700
2006-09-06,155.99014219584032,156.1060333251953,155.79975233286837,156.1060333251953,4200
2006-09-07,155.0878672169723,155.55970522539621,155.0878672169723,155.344482421875,18700
2006-09-08,154.71530374081937,154.71530374081937,154.4835215171668,154.54147338867188,17300
2006-09-11,154.62428600082924,154.62428600082924,154.23523280524367,154.6160125732422,12500
2006-09-12,155.44380504353126,155.45207847085157,155.26168859299005,155.43553161621094,10600
2006-09-13,155.4603380945655,155.60933554811606,155.4106722767153,155.59278869628906,20600
2006-09-14,155.59278869628906,155.59278869628906,155.59278869628906,155.59278869628906,0
2006-09-15,155.59278869628906,155.59278869628906,155.59278869628906,155.59278869628906,0
2006-09-18,155.675539071319,156.02321237881844,155.675539071319,155.8990478515625,23800
2006-09-19,156.53642182640098,156.53642182640098,156.00663223786017,156.18873596191406,8000
2006-09-20,156.8096762384389,157.00835218804377,156.6441192626953,156.6441192626953,8900
2006-09-21,157.41393113574978,157.90232849121094,157.35597926416088,157.90232849121094,26900
2006-09-22,157.7202401278689,157.7202401278689,157.6871337890625,157.6871337890625,200
2006-09-25,157.6540016367362,157.72850036621094,157.6540016367362,157.72850036621094,600
2006-09-26,157.4884612884379,157.4884612884379,157.22356004748,157.38912963867188,700
2006-09-27,156.73513054777746,156.8344748084175,156.73513054777746,156.76824951171875,2300
2006-09-28,155.95708676091337,155.95708676091337,155.66736513509136,155.75013732910156,6100
2006-09-29,155.41897835392854,155.52659606933594,155.41897835392854,155.52659606933594,500
2006-10-02,155.64203672925106,156.77987670898438,155.64203672925106,156.77987670898438,1000
2006-10-03,156.8463008221138,156.8712158203125,156.8463008221138,156.8712158203125,1300
2006-10-04,156.6967010498047,156.6967010498047,156.6967010498047,156.6967010498047,100
2006-10-05,155.95766204852274,156.04072051159795,155.93274704418857,155.9908905029297,1000
2006-10-06,155.9908905029297,155.9908905029297,155.9908905029297,155.9908905029297,0
2006-10-09,155.0856147816223,155.2102024890113,155.0856147816223,155.20188903808594,9200
2006-10-10,154.23011258324425,154.23011258324425,154.07230914538343,154.17198181152344,8100
2006-10-11,154.20522584357693,154.46268932181968,154.1969250669354,154.2882843017578,4700
2006-10-12,154.2882843017578,154.2882843017578,154.2882843017578,154.2882843017578,0
2006-10-13,154.338134765625,154.338134765625,154.338134765625,154.338134765625,400
2006-10-16,154.8696847575566,154.8696847575566,154.77002472725886,154.83645629882812,1700
2006-10-17,155.62538930274047,155.70843505859375,155.62538930274047,155.70843505859375,3200
2006-10-18,155.35962955035896,155.44268798828125,155.32641377895305,155.44268798828125,2200
2006-10-19,156.14036333647167,156.2483367919922,156.14036333647167,156.2483367919922,5700
2006-10-20,156.80479691666463,156.8380126953125,156.80479691666463,156.8380126953125,500
2006-10-23,155.64203243507686,156.06561279296875,155.64203243507686,156.06561279296875,2400
2006-10-24,155.89116204156812,156.05726623535156,155.89116204156812,156.05726623535156,600
2006-10-25,156.3064727783203,156.3064727783203,156.3064727783203,156.3064727783203,100
2006-10-26,157.49412536621094,157.49412536621094,157.49412536621094,157.49412536621094,100
2006-10-27,158.3246706365638,158.3246706365638,158.00906372070312,158.00906372070312,8300
2006-10-30,158.4824624569348,158.52397900770723,158.44923400878906,158.44923400878906,1000
2006-10-31,158.38274038802226,159.13852893586966,158.38274038802226,158.955810546875,17000
2006-11-01,159.05335781838826,159.1866912841797,159.05335781838826,159.1866912841797,800
2006-11-02,159.08670043945312,159.08670043945312,159.08670043945312,159.08670043945312,100
2006-11-03,158.3949677265485,158.5116424560547,158.3616375395146,158.5116424560547,7200
2006-11-06,158.1948871890192,158.2532181681971,158.16154430098683,158.20321655273438,1700
2006-11-07,159.37838633839246,159.49506107259876,158.9783477783203,158.9783477783203,8500
2006-11-08,158.6783792171622,159.07007582599616,158.6783792171622,159.00340270996094,5600
2006-11-09,158.46996492319292,159.17002599357807,158.46996492319292,158.89500427246094,13100
2006-11-10,159.84514204922746,159.84514204922746,159.44511606366584,159.4534454345703,11800
2006-11-13,158.7449548333281,158.7449548333281,158.59494995182814,158.66995239257812,18400
2006-11-14,158.49493866344426,158.55328237458826,158.13658518043692,158.32826232910156,8800
2006-11-15,157.3615732862957,157.72825622558594,157.31155892873622,157.72825622558594,3400
2006-11-16,157.71988647277524,157.82823181152344,157.7032150245242,157.82823181152344,1600
2006-11-17,157.6781908700468,158.26156430658853,157.6781908700468,158.07821655273438,6300
2006-11-20,158.5283105621559,158.5283105621559,158.3949643836511,158.45330810546875,3000
2006-11-21,158.628359203582,158.77003479003906,158.57835755149068,158.77003479003906,1500
2006-11-22,159.8284108171905,160.1784350132273,159.79508062944075,159.9534149169922,9900
2006-11-24,161.4702015158776,161.58687624959956,161.4368713276394,161.47853088378906,6700
2006-11-27,161.84522854155432,162.05357719125163,161.820227720918,161.97024536132812,9100
2006-11-28,162.84526567781933,163.261962890625,162.71193223432974,163.261962890625,31700
2006-11-29,163.32035674899817,163.32035674899817,162.511962890625,162.511962890625,13500
2006-11-30,163.7203667371691,164.69543689383602,163.66203572775777,164.3870849609375,6700
2006-12-01,164.97500212695368,165.9952773822956,164.9331850569915,165.6356658935547,68800
2006-12-04,165.29278602125765,165.65239751486385,165.2091646409801,165.61058044433594,6400
2006-12-05,165.35975696782404,165.37648635488688,164.68236354078854,165.18414306640625,16800
2006-12-06,164.72414680488183,164.86631466376573,164.45652770996094,164.45652770996094,2000
2006-12-07,164.35618764354194,164.35618764354194,164.1638443820174,164.21401977539062,3500
2006-12-08,164.85792488881725,164.8746415084738,163.40277504966062,163.52821350097656,11500
2006-12-11,163.36933890639938,164.03836103482072,163.2020706135149,163.8627471923828,13200
2006-12-12,164.7826586505356,165.05027770996094,164.56522773533686,165.05027770996094,3000
2006-12-13,164.41467873993045,164.88299926807355,164.21396447325026,164.69064331054688,8300
2006-12-14,164.45646426312493,164.48155194849738,164.03831915921586,164.18885803222656,5600
2006-12-15,164.36446556803128,164.36446556803128,163.38600759345354,163.39437866210938,2400
2006-12-18,162.88429770900777,163.28571355984974,162.88429770900777,163.243896484375,6300
2006-12-19,164.24742828969707,165.00009730082118,164.24742828969707,164.98336791992188,8500
2006-12-20,165.1924702415309,165.1924702415309,164.48998924670727,164.54852294921875,1100
2006-12-21,164.0634451438749,164.46487372509648,164.0634451438749,164.34779357910156,11300
2006-12-22,164.5652054399242,164.5652054399242,164.06342615187265,164.31431579589844,1400
2006-12-26,164.08848358867857,164.18047600868158,163.78741864692088,163.91285705566406,12000
2006-12-27,164.17217066563424,164.17217066563424,164.0550905170107,164.1554412841797,800
2006-12-28,164.916454664483,164.916454664483,164.33105397094062,164.41468811035156,5700
2006-12-29,164.57355799429644,164.57355799429644,164.33103942871094,164.33103942871094,6700
2007-01-03,164.4309060408129,164.49805649499925,163.66709684067757,163.78460693359375,7600
2007-01-04,163.28107194633088,163.28107194633088,163.1383819580078,163.1383819580078,3200
2007-01-05,161.9884354616898,162.206664914989,161.84574549518902,162.1479034423828,14700
2007-01-08,162.23176362250038,162.8025360107422,162.23176362250038,162.8025360107422,3500
2007-01-09,163.18029990050096,163.18029990050096,162.8613383780848,163.0040283203125,1400
2007-01-10,162.7438023140055,162.7438023140055,161.80372152325822,162.37448120117188,16900
2007-01-11,163.4908633134768,163.49925231933594,163.15512377211635,163.49925231933594,3300
2007-01-12,164.56527709960938,164.56527709960938,164.56527709960938,164.56527709960938,600
2007-01-16,165.18636942985188,165.18636942985188,164.80025744916713,164.9429473876953,18000
2007-01-17,165.4046405795221,165.77396183485843,165.3962515719536,165.6648406982422,22300
2007-01-18,165.79910355747833,165.99215314834393,165.61444297225307,165.9501953125,20100
2007-01-19,166.02569068358943,166.2187402231739,165.77387969720516,166.109619140625,11100
2007-01-22,166.19364092903663,166.42027220735318,166.17685010643854,166.32794189453125,2100
2007-01-23,167.3519311667016,167.43585964776375,166.8399200439453,166.8399200439453,3000
2007-01-24,165.59764959305255,165.6228422248685,165.538900939194,165.58087158203125,800
2007-01-25,165.8998030457496,165.8998030457496,165.25350388227756,165.30386352539062,10100
