Date,Time,Open,High,Low,Close,Volume
2026-05-29,04:00:00,68.35,68.72,67.94,68.1116,0
2026-05-29,05:00:00,68.1,68.46,67.8121,68.44,0
2026-05-29,06:00:00,68.47,68.514,68.21,68.29,0
2026-05-29,07:00:00,68.3,68.59,68.2807,68.42,0
2026-05-29,08:00:00,68.43,68.54,67.99,68.18,0
2026-05-29,09:00:00,68.18,68.52,67.1277,68.395,0
2026-05-29,09:30:00,68.55999755859375,68.62000274658203,67.61000061035156,67.66999816894531,4220794
2026-05-29,10:30:00,67.66000366210938,69.34500122070312,67.4800033569336,68.66000366210938,5209329
2026-05-29,11:30:00,68.67500305175781,68.80999755859375,68.20999908447266,68.3333969116211,1652234
2026-05-29,12:30:00,68.33999633789062,68.70999908447266,68.25499725341797,68.37000274658203,1801840
2026-05-29,13:30:00,68.36000061035156,68.5,68.12999725341797,68.43499755859375,993699
2026-05-29,14:30:00,68.44499969482422,68.58000183105469,68.19000244140625,68.41000366210938,1138183
2026-05-29,15:30:00,68.41000366210938,68.44000244140625,68.26599884033203,68.33999633789062,1127625
2026-05-29,16:00:00,68.35,68.46,68.1,68.1039,0
2026-05-29,17:00:00,68.1014,68.3,68.1,68.29,0
2026-05-29,18:00:00,68.2987,68.2987,68.2,68.2326,0
2026-05-29,19:00:00,68.24,68.28,68.2,68.25,0
2026-06-01,04:00:00,68.54,68.72,68.1139,68.2703,0
2026-06-01,05:00:00,68.3,69.0,68.1792,68.61,0
2026-06-01,06:00:00,68.6,68.6997,68.4,68.6,0
2026-06-01,07:00:00,68.625,68.72,68.31,68.6371,0
2026-06-01,08:00:00,68.6,68.66,68.1397,68.35,0
2026-06-01,09:00:00,68.33,68.64,67.04,67.98,0
2026-06-01,09:30:00,67.48999786376953,67.69999694824219,66.80000305175781,67.24500274658203,5941543
2026-06-01,10:30:00,67.23999786376953,67.59500122070312,67.06999969482422,67.52999877929688,1754223
2026-06-01,11:30:00,67.5199966430664,68.05999755859375,67.47000122070312,67.59500122070312,2196674
2026-06-01,12:30:00,67.61000061035156,68.0,67.48500061035156,68.0,1343316
2026-06-01,13:30:00,68.0,68.23500061035156,67.8499984741211,67.99500274658203,1958631
2026-06-01,14:30:00,68.0,68.10009765625,67.81999969482422,67.8290023803711,934615
2026-06-01,15:30:00,67.82499694824219,67.87000274658203,67.61000061035156,67.66999816894531,1422065
2026-06-01,16:00:00,67.67,68.433,67.645,67.68,0
2026-06-01,17:00:00,69.6415,69.6415,67.65,67.75,0
2026-06-01,18:00:00,67.78,67.82,67.61,67.8,0
2026-06-01,19:00:00,67.791,67.96,67.73,67.85,0
2026-06-02,04:00:00,69.53,69.66,68.07,69.4126,0
2026-06-02,05:00:00,69.44,69.5,69.011,69.0846,0
2026-06-02,06:00:00,69.1,69.16,68.89,68.9499,0
2026-06-02,07:00:00,68.95,69.13,67.67,69.13,0
2026-06-02,08:00:00,69.15,69.34,68.89,69.335,0
2026-06-02,09:00:00,69.35,69.37,68.74,68.88,0
2026-06-02,09:30:00,68.69000244140625,69.02999877929688,68.05000305175781,68.23999786376953,4237140
2026-06-02,10:30:00,68.25,68.75499725341797,68.25,68.67500305175781,1411743
2026-06-02,11:30:00,68.67500305175781,68.77999877929688,68.19000244140625,68.23999786376953,1072532
2026-06-02,12:30:00,68.2300033569336,68.36000061035156,68.04000091552734,68.12999725341797,992943
2026-06-02,13:30:00,68.13999938964844,68.23999786376953,67.86000061035156,68.00990295410156,846187
2026-06-02,14:30:00,68.0000991821289,68.05999755859375,67.62999725341797,68.0,1754338
2026-06-02,15:30:00,67.99099731445312,68.0199966430664,67.8499984741211,68.0,820120
2026-06-02,16:00:00,67.98,68.08,67.9,67.97,0
2026-06-02,17:00:00,67.99,69.9972,67.9,68.0,0
2026-06-02,18:00:00,67.99,68.09,67.8,67.8,0
2026-06-02,19:00:00,67.8174,67.92,67.2097,67.7,0
2026-06-03,04:00:00,67.04,68.05,66.94,67.2,0
2026-06-03,05:00:00,67.22,67.35,66.9495,67.02,0
2026-06-03,06:00:00,67.0546,67.7,66.9,67.29,0
2026-06-03,07:00:00,67.34,67.4308,67.13,67.31,0
2026-06-03,08:00:00,67.35,67.47,67.05,67.1,0
2026-06-03,09:00:00,67.1,67.99,66.86,67.3,0
2026-06-03,09:30:00,67.0,67.13999938964844,66.18499755859375,66.70500183105469,5066242
